Rep,Light,Surface,AUC,Chamber,Placement
1,Green_Low,Med_80,1.2,6,1
1,Green_Low,Course_36,1.8,6,2
1,Green_Low,Smooth_control,3.8,6,3
1,Green_Low,Fine_220,3.5,6,4
1,Dark_Control,Smooth_control,4.3,5,1
1,Dark_Control,Fine_220,3,5,2
1,Dark_Control,Course_36,5.2,5,3
1,Dark_Control,Med_80,4.7,5,4
2,Green_Low,Med_80,5.3,4,1
2,Green_Low,Smooth_control,8.2,4,2
2,Green_Low,Fine_220,2.4,4,3
2,Green_Low,Course_36,4.1,4,4
2,Dark_Control,Fine_220,2.4,3,1
2,Dark_Control,Med_80,1.8,3,2
2,Dark_Control,Smooth_control,1.4,3,3
2,Dark_Control,Course_36,3.2,3,4
3,Green_Low,Smooth_control,4.7,4,1
3,Green_Low,Fine_220,7.6,4,2
3,Green_Low,Course_36,7.1,4,3
3,Green_Low,Med_80,11,4,4
3,Dark_Control,Fine_220,7.6,3,1
3,Dark_Control,Med_80,7.6,3,2
3,Dark_Control,Course_36,5.6,3,3
3,Dark_Control,Smooth_control,6.4,3,4
4,Green_Low,Med_80,6.8,5,1
4,Green_Low,Course_36,7.6,5,2
4,Green_Low,Fine_220,9.2,5,3
4,Green_Low,Smooth_control,6,5,4
4,Dark_Control,Med_80,6.8,6,1
4,Dark_Control,Fine_220,7.6,6,2
4,Dark_Control,Course_36,7.1,6,3
4,Dark_Control,Smooth_control,3.2,6,4
5,Green_Low,Fine_220,5.3,1,1
5,Green_Low,Med_80,4.2,1,2
5,Green_Low,Smooth_control,14.3,1,3
5,Green_Low,Course_36,5.6,1,4
5,Dark_Control,Fine_220,4.8,2,1
5,Dark_Control,Smooth_control,11.1,2,2
5,Dark_Control,Course_36,4.8,2,3
5,Dark_Control,Med_80,2.4,2,4
6,Green_Low,Fine_220,5.6,2,4
6,Green_Low,Med_80,6.5,2,1
6,Green_Low,Smooth_control,16.7,2,2
6,Green_Low,Course_36,8,2,3
6,Dark_Control,Fine_220,10.2,1,4
6,Dark_Control,Smooth_control,13.4,1,2
6,Dark_Control,Course_36,8.6,1,1
6,Dark_Control,Med_80,9.4,1,3
7,Green_Low,Fine_220,7.5,3,4
7,Green_Low,Med_80,6.7,3,1
7,Green_Low,Smooth_control,13.6,3,2
7,Green_Low,Course_36,5.4,3,3
7,Dark_Control,Fine_220,4.8,4,1
7,Dark_Control,Smooth_control,13,4,3
7,Dark_Control,Course_36,8.6,4,4
7,Dark_Control,Med_80,5.6,4,2